IlmnID,Relation_to_UCSC_CpG_Island,CHR,Infinium_Design_Type
cg06375628,Island,4,I
cg03681341,Island,6,I
cg07321171,Island,2,II
cg00050898,S_Shore,1,II
cg20597403,Island,7,II
cg25959317,,2,II
cg04688645,,3,II
cg01560399,Island,20,I
cg11278262,N_Shore,1,I
cg13123518,,5,II
cg03974581,,16,II
cg27546583,,1,II
cg03050258,,10,II
cg24719396,S_Shore,3,II
cg21394561,S_Shore,14,II
cg07617338,N_Shore,2,II
cg26493189,,1,II
cg07382926,N_Shore,9,II
cg18456149,Island,20,II
cg03493089,,2,II
cg13760845,,13,II
cg21336127,S_Shore,17,I
cg01235448,,14,II
cg00094735,Island,5,II
cg01397395,,15,II
cg01961137,Island,5,I
cg07213955,,2,II
cg13386832,,2,II
cg08719985,,12,II
cg09757588,,2,I
cg04967009,,4,II
cg13352518,N_Shore,11,II
cg09635994,S_Shore,22,I
cg10185953,S_Shore,5,II
cg09493654,,2,II
cg02706970,,1,II
cg14884347,,5,II
cg26600181,,4,II
cg19156311,N_Shore,5,II
cg03177593,,3,II
cg07840212,N_Shore,20,II
cg15747423,N_Shore,6,I
cg07388532,,12,II
cg06558382,,4,II
cg21463095,,16,II
cg00064074,,10,II
cg09433794,N_Shelf,4,II
cg25162403,N_Shore,10,II
cg19276668,,18,II
cg14029994,S_Shore,6,I
cg12801392,Island,3,I
cg09017904,S_Shore,11,II
cg15482872,Island,13,II
cg10146880,,16,II
cg13136510,Island,2,II
cg05357229,,2,II
cg03619075,S_Shore,16,II
cg16651334,Island,12,I
cg09248345,Island,1,I
cg07948045,,2,II
cg01522891,,1,II
cg16790055,,19,II
cg04856978,,X,II
cg18752991,S_Shore,19,II
cg05901679,,4,II
cg11980500,S_Shore,17,I
cg25598441,N_Shelf,4,II
cg07979725,N_Shore,1,II
cg22801433,,7,II
cg19462228,S_Shore,7,II
cg08246641,,1,II
cg16988212,,4,II
cg27037743,,14,II
cg02642585,,21,II
cg04907070,Island,8,II
cg10631879,,13,II
cg14675598,,10,II
cg10007075,Island,15,II
cg06943496,Island,5,I
cg09497987,,4,II
cg26929348,Island,16,I
cg14157107,,9,II
cg09723770,,2,II
cg20277670,,5,II
cg01883784,,4,II
cg13373315,N_Shore,1,II
cg10330955,,15,II
cg02425257,Island,14,II
cg09166546,,8,II
cg03373091,Island,22,I
cg11404049,N_Shore,1,I
cg14527214,,1,II
cg15744876,,4,II
cg19919383,,3,II
cg04646695,,11,II
cg03227505,,2,II
cg18854441,,14,II
cg25191041,Island,21,I
cg18258224,,11,II
cg00002907,,10,II
cg25809410,Island,6,I
cg21041447,S_Shore,5,II
cg15426316,N_Shore,13,II
cg18506678,Island,6,II
cg02286623,Island,X,I
cg23569945,Island,8,I
cg04103247,,6,II
cg20895553,,6,II
cg23714547,,2,II
cg02518546,,2,II
cg00951171,,X,II
cg03856401,Island,16,I
cg02337980,,1,II
cg25792252,Island,7,II
cg01620154,,12,II
cg12629001,,9,II
cg23860509,,3,II
cg12860374,Island,10,II
cg15713707,N_Shore,5,I
cg04001704,Island,12,I
cg06741896,N_Shore,11,I
cg11231220,,20,II
cg10134583,,14,II
cg15800404,N_Shore,21,II
cg27659974,,2,II
cg23859313,N_Shore,4,I
cg01422649,Island,X,I
cg10863458,,19,I
cg08838517,N_Shore,1,II
cg24403739,S_Shore,11,I
cg10519465,,11,II
cg15673019,,13,II
cg03717277,Island,3,II
cg17798048,N_Shelf,8,II
cg05658246,,6,II
cg18891762,S_Shore,5,I
cg09137263,,12,II
cg19217770,,9,II
cg26774162,S_Shore,5,II
cg18431935,S_Shore,X,II
cg26946966,,3,II
cg08227282,,22,II
cg14735329,,5,II
cg05568438,N_Shore,17,II
cg10562781,Island,6,II
cg26411015,S_Shore,15,I
cg27318506,,5,II
cg07789658,N_Shore,8,I
cg10082110,,18,II
cg08770998,,8,II
cg00159699,,4,II
cg02895586,,15,II
cg03143681,Island,4,I
cg09806575,,16,II
cg08377951,,6,II
cg04451485,,6,II
cg05720939,,12,II
cg03779423,,2,II
cg04593696,,16,II
cg17345934,Island,6,II
cg11005998,,14,II
cg25958582,,3,II
cg12728027,,9,II
cg13714586,Island,9,I
cg26746331,N_Shore,16,II
cg14459011,S_Shore,4,II
cg09791776,N_Shelf,14,II
cg06304190,S_Shore,14,II
cg07774938,Island,9,I
cg23996829,,1,I
cg08124213,,20,II
cg18726844,,20,II
cg23467797,,8,II
cg14237610,,20,II
cg23329208,N_Shelf,4,II
cg05317038,,6,II
cg06647818,,22,II
cg14082599,,2,II
cg20063954,,2,II
cg08428398,S_Shelf,X,II
cg14139051,,7,II
cg15908580,,10,II
cg10724928,S_Shore,8,II
cg08170519,,11,II
cg27099956,Island,11,II
cg20035127,,8,II
cg18109186,N_Shore,3,II
cg23590542,,9,II
cg09886558,,15,II
cg19673302,,7,II
cg16751364,,1,II
cg21251197,S_Shore,9,II
cg01829171,,9,II
cg19384373,N_Shore,9,II
cg20220034,,6,II
cg25985600,N_Shelf,10,II
cg04956382,,5,II
cg09228183,N_Shore,1,II
cg08081508,,X,II
cg24574306,,11,II
cg23246084,,13,II
cg06289824,N_Shore,16,II
cg11412103,,10,II
cg14790860,,3,II
cg09730017,Island,11,II
cg01475577,S_Shore,7,II
cg03261528,,12,II
cg13652795,N_Shelf,X,II
cg08266565,Island,1,I
cg00711542,,16,I
cg18875411,,4,II
cg12220753,Island,1,II
cg20505565,,2,II
cg18559344,N_Shore,14,I
cg24592389,,13,II
cg12189410,N_Shelf,9,II
cg25945374,Island,8,II
cg15681470,,11,II
cg12282381,Island,6,I
cg10473311,,7,II
cg18761005,,1,II
cg10065825,Island,16,II
cg25156118,Island,19,II
cg19290139,,19,II
cg27610941,Island,17,II
cg20079952,,1,II
cg25867268,,22,II
cg25547232,Island,19,I
cg15362480,S_Shelf,7,II
cg02684349,,6,II
cg04717595,,12,II
cg12139012,N_Shore,12,II
cg14159924,N_Shore,19,I
cg15321298,Island,6,II
cg04712436,Island,5,I
cg03203239,S_Shore,2,I
cg05664601,,1,II
cg04808930,,1,II
cg26145190,,9,I
cg23247000,Island,7,II
cg18617770,,12,II
cg13278241,,3,I
cg06489653,Island,2,II
cg11843640,N_Shore,5,II
cg26861214,,12,II
cg27339787,,18,II
cg15392097,,6,II
cg09794742,,10,II
cg19768606,,4,II
cg15973607,,5,II
cg25619145,S_Shore,22,II
cg11470566,,2,II
cg01383203,N_Shore,16,II
cg27452844,N_Shelf,2,II
cg13349868,,18,II
cg21808433,,4,II
ch.6.106373286R,,6,II
cg13231717,,2,II
cg04919516,N_Shore,1,II
cg01011462,,17,II
cg13043862,,8,II
cg07102763,S_Shore,18,II
cg12431599,,2,II
cg17993248,,2,II
cg23655126,S_Shore,22,II
cg20577905,,14,II
cg19821872,,2,II
cg13165856,,2,II
cg18854424,,1,II
cg00454611,,2,II
cg25779645,,20,II
cg16062681,,16,II
cg06370094,,12,I
cg24340919,,4,II
cg25101462,,2,II
cg10377414,S_Shelf,17,II
cg23591403,,6,II
cg13811630,,9,II
cg03559133,Island,19,I
cg13587564,S_Shore,9,II
cg10091299,Island,14,II
cg17007711,,16,II
cg21116938,S_Shore,5,II
cg24209690,S_Shelf,17,II
cg10990608,,22,II
cg27530239,S_Shore,17,II
cg17231524,Island,X,II
cg05021494,,6,II
cg22658557,,1,II
cg21330703,S_Shore,11,II
cg12816706,,10,II
cg15321957,,3,II
cg04704053,Island,19,I
cg01485362,,6,II
cg12151935,,16,II
cg23058254,,14,II
cg08894674,,6,II
cg19609334,S_Shore,6,II
cg05533705,,10,II
cg08508745,,10,II
cg04704161,,15,II
cg05913211,,8,II
cg04671541,,3,II
cg09005448,,13,I
cg12614090,,10,II
cg13847701,,2,II
cg12749719,,11,II
cg03774447,S_Shore,16,II
cg09338113,Island,15,I
cg15549637,,7,II
cg14106308,,3,II
cg07006183,,6,II
cg11447854,,17,II
cg03711944,Island,11,I
cg05043591,,9,II
cg16909402,,1,II
cg26676343,,12,II
cg01927145,,10,II
cg26621400,,8,II
cg14251555,Island,17,I
cg18142162,N_Shore,1,II
cg00970361,N_Shore,15,II
cg01881442,,4,II
cg14362780,,6,II
cg12761282,,20,II
cg12526549,,13,II
cg02556805,N_Shore,13,II
cg01083094,,16,II
cg26345218,,14,II
cg05249460,,17,II
cg03789891,S_Shore,17,II
cg12664323,N_Shore,1,II
cg20138922,,1,II
cg26845346,,5,II
cg19469297,Island,7,II
cg01307461,,3,II
cg15145693,Island,5,II
cg04477660,N_Shore,3,II
cg22371962,,11,II
cg09852421,,11,II
cg09600206,,8,II
cg23727674,S_Shore,2,II
cg25538881,,2,II
cg02902554,,1,II
cg24524539,,10,II
cg20166783,Island,4,I
ch.3.12948F,,3,II
cg25604082,S_Shelf,10,II
cg21197871,N_Shore,8,II
cg01122711,,20,II
cg17601801,N_Shelf,17,II
cg07285248,,3,II
cg09739869,,1,II
cg12097896,,8,II
cg00042654,,2,II
cg07663665,,5,II
cg09395969,N_Shore,16,II
cg09312767,Island,1,I
cg01853828,,16,II
cg22228387,Island,3,I
cg18151030,S_Shore,21,II
cg04329147,,13,II
cg19093733,,12,II
cg07472069,Island,12,I
cg02469909,Island,22,I
cg26170569,Island,2,I
cg22920898,,11,II
cg23850360,,1,II
cg22377345,S_Shelf,11,II
cg05199362,S_Shore,20,II
cg06852240,S_Shore,16,II
cg01867538,,7,II
cg09908374,,12,II
cg13296755,,12,II
cg19937061,Island,13,I
cg00752045,,17,II
cg03534684,,1,II
cg14639859,S_Shore,12,II
cg17015744,,5,II
cg13176360,,22,II
cg09604108,,11,II
cg11338281,,2,II
cg14394167,,16,II
cg04333297,S_Shore,3,II
cg13914324,,9,II
cg18536607,,15,II
cg27324066,,3,II
cg22302747,N_Shore,10,II
cg03195031,,3,I
cg24712417,Island,20,II
cg23817297,N_Shore,22,II
cg02217041,N_Shore,7,II
cg08113628,N_Shelf,1,II
cg10706659,,6,II
cg16248933,,3,II
cg12792389,,1,II
cg26960671,,11,II
cg17145690,,14,II
cg27177415,Island,17,I
cg02808427,,7,II
cg14262035,S_Shelf,17,II
cg26797843,,5,II
cg05077768,N_Shelf,5,II
cg18426664,N_Shelf,16,II
cg08396276,,12,II
cg03174332,,10,II
cg08373769,S_Shelf,7,I
cg01894895,,9,II
cg06664900,N_Shelf,16,II
cg14442715,Island,1,II
cg18248273,,17,II
cg12124000,,8,II
cg09279150,,2,II
cg12259593,N_Shore,6,II
cg24337881,Island,12,I
cg02368064,,17,II
cg02796445,,19,II
cg02341578,N_Shore,8,II
cg03501953,Island,16,I
cg22977386,Island,11,I
cg03707556,S_Shelf,17,II
cg16485897,,8,II
cg06790661,N_Shore,15,II
cg26446615,,20,II
cg07442405,,9,II
cg08792584,N_Shelf,11,II
cg18971999,,6,II
cg03984340,,2,I
cg15383979,,17,I
cg27315157,,1,II
cg10765947,,1,II
cg07268272,,15,II
cg20405584,Island,5,I
cg24587312,,15,II
cg22147898,S_Shore,8,II
cg03627015,Island,11,II
cg25322642,Island,21,II
cg17808634,,1,I
cg22857777,,1,II
cg14037107,,5,II
cg05411944,,12,II
cg17504164,,1,II
cg16884569,Island,20,II
cg19561129,,7,II
cg16630482,,11,I
cg05467600,Island,X,I
cg08452658,Island,15,I
cg16740586,S_Shore,21,II
cg15873673,Island,12,II
cg09351176,N_Shore,14,II
cg15132440,,3,II
cg02454131,Island,1,II
cg12629186,,20,II
cg09205153,,2,II
cg10292801,,16,II
cg07308381,N_Shore,17,II
cg20716915,,4,II
cg23712855,Island,X,I
cg04279046,,14,II
cg17826786,S_Shore,2,II
cg18734829,,6,II
cg16978004,,15,II
cg03525094,,20,II
cg21808526,,22,II
cg01372465,,6,II
cg15895505,,14,II
cg23493715,,2,II
cg04551282,S_Shore,16,I
cg10141801,,11,II
cg12567082,,14,II
cg27477833,,5,II
cg25758263,,5,II
cg20793532,,4,II
cg00752121,,2,II
cg27212190,,4,II
cg10350722,,12,II
cg10919388,,14,II
cg02904800,,7,II
cg07392099,,4,II
cg19670885,S_Shelf,4,II
cg18997422,Island,14,I
cg26271290,,8,II
cg03133269,N_Shore,1,II
cg23229568,Island,2,I
cg25960044,,4,II
cg20422157,N_Shore,7,II
cg13746655,S_Shelf,7,II
cg00468775,,12,II
cg12854242,,15,II
cg27047283,Island,X,I
cg00717808,Island,7,II
cg08102838,,7,II
cg15458647,N_Shore,20,II
cg10714160,,3,II
cg09414985,S_Shelf,11,II
cg13069413,,16,II
cg25485859,,5,II
cg14475001,Island,5,I
cg00403457,Island,7,II
cg02628907,,10,II
cg10658517,,4,II
cg05953316,S_Shelf,16,II
cg08091630,N_Shore,1,II
cg02621540,S_Shore,17,II
cg04864054,N_Shore,11,II
cg06488775,Island,19,I
cg25116882,,12,II
cg03382306,,15,II
cg02270412,S_Shelf,16,II
cg23980357,Island,22,II
cg26422752,,8,II
cg22727903,,1,II
cg25430350,,2,II
cg22158648,N_Shore,18,II
cg25480132,N_Shelf,20,II
cg17324887,N_Shore,11,I
cg18236079,S_Shore,17,II
cg01793237,,3,II
cg26707149,,16,II
cg05709196,,2,II
cg14890358,,3,II
cg12897690,,20,II
cg05117258,,17,II
cg08817353,,2,II
cg08576172,,15,II
cg15161667,S_Shore,11,II
cg12719649,,7,II
cg12602532,,18,II
cg01380023,,12,II
ch.8.54350894R,,8,II
cg00614366,,4,II
cg02066936,,1,II
cg19975261,,9,II
cg21086027,,3,II
cg18131626,Island,6,I
cg05995866,,5,I
cg17117823,,8,II
cg24394833,,1,II
cg00177496,Island,3,II
cg09469691,Island,10,I
cg23095738,,2,II
cg22599150,N_Shelf,1,II
cg26207201,Island,10,I
cg03276399,Island,7,I
cg08137035,N_Shelf,7,II
cg18718364,,4,II
cg25854139,,10,II
cg24794294,,6,II
cg09233659,,4,II
cg02291833,,4,II
cg16880501,,6,II
cg19014607,N_Shelf,13,II
cg11791006,N_Shore,5,II
cg10071496,,8,II
cg14980472,,8,II
cg07279281,Island,3,I
cg10989504,N_Shore,6,II
cg05255351,,5,II
cg13326158,,19,II
cg13853035,S_Shelf,9,II
cg00471957,,12,II
cg03320250,,22,II
cg08215366,S_Shore,7,II
cg05847731,N_Shore,19,II
cg24679936,,22,II
cg06175025,Island,14,I
cg23190146,,19,II
cg00918900,,1,II
cg18426551,N_Shore,17,II
cg21688489,,16,II
cg00204748,,12,II
cg25045666,,12,II
cg05514256,Island,2,I
cg21749538,Island,20,II
cg11251012,,1,II
cg16829758,,X,II
cg17464436,,1,II
cg05692055,,11,II
cg04292187,Island,1,II
cg06053931,,1,II
cg17867218,,5,II
cg07393419,Island,7,I
cg17241353,,20,II
cg13298647,,1,II
cg22410676,,14,II
cg08877951,,19,II
cg19485462,,1,II
cg18718761,,X,II
cg13168411,N_Shelf,19,II
cg01881464,S_Shelf,21,II
cg02079034,,6,II
ch.8.2599852F,,8,II
cg03096347,,11,II
cg06826756,S_Shore,6,II
cg00466334,S_Shore,1,II
cg20566806,,3,II
cg14694952,S_Shore,4,II
cg01401232,N_Shore,9,II
cg12566645,N_Shelf,4,II
cg17585557,,16,II
cg02784232,N_Shore,3,II
cg24367967,,2,II
cg06828852,Island,7,I
cg16787600,Island,10,II
cg20816447,,4,II
cg24789704,,3,II
cg12194759,,X,II
cg00897250,Island,12,II
cg10097840,N_Shelf,9,II
cg13710960,,17,II
cg13102235,,1,II
cg13887205,Island,5,II
cg09949222,S_Shelf,2,II
cg21752340,,12,II
cg16132804,N_Shore,19,II
cg08934318,,1,II
cg14161894,,1,II
cg27311227,Island,2,I
cg19485873,Island,19,I
cg02763798,,12,I
cg06048436,,13,I
cg01720220,,7,II
cg18563888,,14,II
cg15243246,,3,II
cg09904091,N_Shore,16,II
cg06238491,,19,II
cg12937183,Island,7,I
cg20090869,N_Shore,12,II
cg05645787,,13,II
cg14137922,,10,II
cg13699963,,17,II
cg00966380,S_Shelf,12,II
cg11357787,,15,II
cg08349425,,2,II
cg00662775,Island,X,I
cg13324643,S_Shore,19,II
cg11594083,S_Shore,10,II
cg02854515,,12,II
cg22760465,,1,II
cg08661007,S_Shore,3,II
cg14793063,,8,II
cg05195083,,14,II
cg04888425,,8,II
cg12290153,,3,II
cg21540743,,10,II
cg18869815,,13,II
cg19301114,,6,II
cg00873881,,1,II
cg10330931,,17,II
cg15623062,,6,II
cg06404526,S_Shore,8,II
cg24131748,Island,14,I
cg19634537,Island,1,II
cg18762849,Island,10,I
cg01589129,Island,4,I
cg27104448,,11,II
cg16934357,,1,II
cg25300805,,2,II
cg17479654,,16,II
cg22055129,,3,II
cg09001056,,6,II
cg04957014,,7,II
cg22074545,N_Shore,7,II
cg02758274,S_Shelf,6,II
cg16836719,,22,II
cg09873989,,7,I
cg18442977,Island,22,I
cg24604091,,8,II
cg16409530,,17,II
cg07661177,Island,2,II
cg20539366,N_Shore,22,II
cg02659007,,5,II
cg17332841,S_Shelf,14,II
cg05210364,S_Shore,6,II
cg12649003,,20,II
cg16593628,,4,II
cg06003156,Island,14,II
cg00993365,N_Shore,2,II
cg11282650,S_Shore,10,II
cg05956078,N_Shelf,12,II
cg08206682,,21,II
cg21553486,,2,II
cg15064484,,1,II
cg16699151,,3,II
cg26005980,,5,II
cg02007259,,X,II
cg12572036,,13,II
cg16670573,N_Shore,16,I
cg09219171,Island,19,II
cg27500206,,11,II
cg05148650,,8,II
cg07012484,,1,II
cg17376631,,7,II
cg16882751,,1,II
cg03739132,,5,I
cg24645247,S_Shore,1,II
cg09491226,,12,II
cg24395208,,6,II
cg12624235,,11,II
cg13168919,N_Shore,6,II
cg15262515,N_Shore,18,II
cg12935627,,9,II
cg13844463,N_Shelf,11,II
cg08611472,,5,II
cg13129675,,8,II
cg20743134,N_Shore,3,I
cg00009167,Island,1,II
cg09295413,,10,II
cg22815214,N_Shore,1,II
cg20498834,,4,II
cg05529448,N_Shelf,6,II
cg06588012,N_Shelf,20,II
cg13208899,Island,10,I
cg00189389,S_Shelf,3,II
cg04384626,Island,4,II
cg08002447,,15,II
cg01994468,Island,10,II
cg21274670,,5,II
cg08499840,,17,II
cg16215983,S_Shore,18,II
cg03086300,,5,II
cg17232322,,4,II
cg05607079,,3,II
cg12732436,S_Shelf,18,II
cg01245301,,8,II
cg19257297,,2,II
cg00084093,,1,II
cg02211976,,2,II
cg08920068,Island,5,I
cg23027296,,6,II
cg25783745,,22,II
cg05852337,,16,II
cg09491410,Island,5,I
cg02891726,,15,II
cg10680978,,6,II
cg16794576,Island,6,I
cg02952789,N_Shore,9,II
cg13130965,N_Shore,11,I
cg13910460,,3,II
cg14271862,,11,II
cg20486294,Island,6,I
cg14608860,,13,II
cg04340384,,7,II
cg15966954,,5,II
cg01058342,,3,II
cg01591160,,10,II
cg23891298,Island,4,II
cg14723062,,4,II
cg02136949,,8,II
cg23202710,,10,II
cg02919368,,7,II
cg19961312,,3,II
cg20950033,,14,I
cg19285301,,3,II
cg15080754,Island,18,II
cg11954459,,8,II
cg07457855,,10,II
cg07537562,,7,II
cg23895065,,14,II
cg14808521,Island,17,I
cg03761998,,10,II
cg11959007,,13,II
cg06933364,S_Shore,21,II
cg20826914,S_Shore,13,II
cg05101972,,2,II
cg10482356,,16,II
cg18059210,N_Shore,4,II
cg20263570,,12,II
cg03431655,N_Shore,3,II
cg02210898,,3,II
cg09464466,S_Shore,2,II
cg02691866,,15,II
cg22726310,,22,II
cg07366967,,14,II
cg26555052,,5,I
cg19856241,,4,II
cg21381354,,11,II
cg02436581,N_Shore,2,II
cg18961142,,1,II
cg16780259,N_Shore,10,II
cg10539633,,3,II
cg21876565,,1,II
cg18878242,,3,II
cg03285617,,6,II
cg02213001,,4,II
cg11712265,N_Shore,19,II
cg10905376,Island,10,I
cg09217923,,6,II
cg13972906,,11,II
cg00341606,Island,17,II
cg05083642,,16,II
cg06688878,,8,II
cg00006926,,18,II
cg09990596,Island,14,I
cg09913093,,14,II
cg11796910,,2,II
cg07240953,N_Shelf,19,II
cg03530074,,10,II
cg00177013,Island,20,II
cg05045659,Island,X,I
cg16344234,,16,II
cg02603006,,12,II
cg19839822,,22,II
cg17758142,,1,II
cg20238171,Island,19,II
cg13849495,,9,II
cg05804513,,14,II
cg18538785,Island,11,II
cg09275735,S_Shelf,20,II
cg24588381,N_Shore,13,II
cg25176872,,X,II
cg11480704,,1,II
cg25782086,,11,II
cg15095728,,15,II
cg23631538,N_Shelf,1,II
cg24217726,,3,II
cg25504654,S_Shore,19,II
cg02091112,N_Shore,1,II
cg06927134,N_Shore,22,II
cg25731959,N_Shore,1,II
cg13303686,,7,II
cg17527766,,3,II
cg07906432,,1,II
cg23207440,,15,II
cg27494055,N_Shore,5,II
cg24951061,,11,II
cg27531197,,17,II
cg14807363,,15,II
cg16227104,N_Shelf,12,II
cg15654127,Island,7,II
cg23121140,Island,11,II
cg20673407,,10,II
cg14275025,,3,II
cg14083421,Island,1,I
cg18777431,,3,II
cg13348155,Island,4,I
cg16465844,,6,II
cg26363168,S_Shore,6,I
cg26832062,Island,1,I
cg23181393,,11,II
cg03300353,,1,I
cg06866686,N_Shore,14,II
cg18155062,,X,II
cg12338273,,2,II
cg01468426,,8,II
cg15901876,,22,II
cg18996553,,9,II
cg01347604,Island,9,I
cg16588061,Island,11,II
cg00397673,Island,18,I
cg08888968,,7,II
cg07967679,Island,12,I
cg19258366,,1,II
cg00060800,,5,II
cg18104041,,22,II
cg17407732,,3,II
cg04982763,,2,II
cg18025133,,1,II
cg22096490,,3,II
cg07334502,,19,II
cg06401110,,16,II
cg04554802,Island,12,II
cg22609474,,5,II
cg25206797,,12,II
cg04090604,S_Shore,21,II
cg13214067,Island,X,II
cg22867728,,20,II
cg20119550,S_Shore,19,I
cg08553274,,4,II
cg01455299,,5,II
cg19514148,S_Shelf,17,II
cg06836762,S_Shore,17,II
cg22946159,N_Shore,2,II
cg15208687,,22,II
cg27191457,,15,II
cg14217990,N_Shore,1,II
cg01489057,Island,10,II
cg06344336,N_Shore,6,II
cg24005196,,6,I
cg17760114,,5,II
cg26922031,,1,II
cg06094142,,1,I
cg06613286,S_Shore,12,II
cg15847963,Island,4,II
cg04588003,,8,II
cg09987548,,4,II
cg24959305,,3,II
cg03482987,,1,II
cg19945263,,6,II
cg08382827,,10,II
cg02897882,Island,14,II
cg25915499,Island,22,I
cg18338046,S_Shore,5,II
cg17874995,,8,II
cg17898737,,7,II
cg12802086,S_Shore,1,II
cg11056161,,1,II
cg06554342,Island,4,II
cg23443391,,11,II
cg08845905,,18,II
cg10006377,,3,II
cg04098288,S_Shore,17,II
cg12565050,,9,II
cg00912526,,10,II
cg07565658,,6,II
cg11268421,,2,II
cg16225517,,17,II
cg11588907,,18,II
cg24368226,,15,II
cg15732221,,3,I
cg24468603,,3,II
cg03647659,N_Shelf,11,II
cg06924233,N_Shelf,14,II
cg26241877,S_Shelf,18,II
cg22417975,S_Shore,2,II
cg20734030,,12,II
cg06046574,S_Shore,3,II
cg14448116,N_Shore,1,II
cg06762442,S_Shelf,16,II
cg27062460,,2,II
cg17252960,N_Shore,6,II
ch.10.1020819F,,10,II
cg06723357,,17,II
cg17364913,,7,I
cg07474019,,15,II
cg00751463,,13,II
cg17613148,Island,9,II
cg22118501,,3,II
cg22985204,,9,II
cg07489382,,9,II
cg15384365,,1,II
cg02210621,,16,II
cg17119919,,10,II
cg27327551,,17,II
cg27545668,,3,II
cg21320567,N_Shore,8,II
cg21437521,N_Shore,2,II
cg09886755,Island,20,II
cg06020767,,5,II
cg06625804,,1,II
cg20919675,N_Shore,3,II
cg17783368,S_Shelf,7,II
cg05265020,Island,6,II
cg12652578,,6,II
cg12861636,,12,II
cg06836772,N_Shore,1,II
cg26872792,,12,II
cg14859722,N_Shelf,16,II
cg07196637,,4,II
cg05935520,,5,II
cg11030744,,3,II
cg09784271,,11,II
cg00791851,,1,II
cg13345817,,15,II
cg11219690,,22,II
cg04703749,Island,11,II
cg18840330,,2,II
cg12175311,,15,II
cg16508068,Island,10,II
cg10583219,,22,II
cg24615689,,17,II
cg26937798,S_Shore,16,II
cg12350863,S_Shore,3,II
cg20427859,,4,II
cg19857714,,11,II
cg10519840,S_Shore,6,II
cg09530108,S_Shore,2,II
cg19595234,Island,20,I
cg09214447,,1,II
cg20823859,,1,II
cg12226735,,3,II
cg01166197,,11,II
cg17134509,,10,II
cg05350993,Island,6,I
cg18184910,,6,II
cg10334750,,8,II
cg23897927,N_Shelf,2,II
cg25736465,Island,4,II
cg03311251,,8,II
cg08961187,,6,II
cg07700249,N_Shore,20,II
cg04971183,,19,II
cg18812700,,3,II
cg06250960,,4,II
cg25022732,,1,II
cg27351642,Island,X,II
cg08359336,S_Shore,3,II
cg18124907,,X,I
cg24864707,,11,II
cg26999715,S_Shelf,14,II
cg26247373,,12,II
cg08072606,,2,II
cg27570575,,16,II
cg20252022,N_Shore,12,II
cg05621113,S_Shelf,2,I
cg16118817,Island,19,II
cg02352679,,5,II
cg05973777,N_Shore,2,II
cg15334096,,7,II
cg04795110,,15,II
cg11240634,Island,11,II
cg19628277,,16,II
cg25631072,,15,II
cg26449334,,8,II
cg26298583,,8,I
cg24735966,,1,II
cg20341853,,X,II
cg02415491,N_Shelf,14,II
cg20392088,S_Shelf,4,II
cg00975912,N_Shelf,15,II
cg18994092,,3,II
cg03948727,,15,II
cg25245963,,8,II
cg04600122,Island,19,I
cg26219233,N_Shelf,5,II
cg13382985,,1,II
cg02027653,,13,II
cg15959052,,13,II
cg23150197,N_Shore,7,II
cg17564741,N_Shelf,22,II
cg17362456,S_Shore,17,II
cg06997272,,5,II
cg16724588,Island,4,II
cg09904206,Island,11,I
cg21991457,,10,II
cg09674170,N_Shore,16,I
cg13433272,Island,13,II
cg08466170,,11,II
cg22466620,Island,6,I
cg05933456,,3,I
cg17332150,S_Shelf,19,II
cg14499074,,12,II
cg01694519,S_Shore,19,II
cg05390511,,10,II
cg01895596,,5,II
cg26699251,,16,II
cg25544931,N_Shore,19,II
cg06131578,Island,6,II
cg12879607,,14,II
cg13747137,,15,II
cg12153785,N_Shore,14,I
cg10143960,Island,1,II
cg09460407,,19,II
cg14110424,,9,II
cg14677531,,1,II
cg21121803,,7,II
cg01614726,Island,1,II
cg19609099,N_Shore,12,II
cg01531058,S_Shore,19,II
cg03508666,N_Shore,8,II
cg09860125,,X,II
cg00197431,,7,II
cg20880520,,6,II
cg20528917,,1,II
cg27546237,Island,13,II
cg17866378,N_Shore,16,I
cg15520292,Island,12,II
cg05189730,Island,10,II
cg20537521,,12,II
cg16100138,N_Shore,1,II
cg21076424,N_Shelf,7,II
cg04862844,,7,II
cg04704495,,11,II
cg06399504,,17,II
cg13229810,,11,II
cg27379587,S_Shore,15,II
cg16181973,,2,II
cg03549856,Island,1,I
cg03694391,,13,II
cg24065690,Island,20,I
cg04353483,,4,II
cg03952936,,4,II
cg10078254,,22,II
cg16095262,Island,8,II
cg07850246,,11,II
cg09166345,Island,1,II
cg00647680,,14,II
cg15719918,,6,II
cg12423552,,13,II
cg08711344,Island,2,II
cg04867406,,11,I
cg16259747,S_Shore,22,II
cg27175596,,1,II
cg19930663,,10,II
cg26392708,,10,I
cg12750809,,20,II
cg22746561,,17,II
cg02527419,,5,II
cg21281799,N_Shore,12,II
cg18417758,,18,II
cg19984991,S_Shelf,17,II
cg05776902,,10,II
cg18793773,,5,II
cg26397607,,3,II
cg25209282,,15,II
cg13372375,,11,II
cg21576095,,17,II
cg14007688,,9,II
cg25913882,,10,II
cg08383616,,10,II
cg26613034,,6,II
cg13886334,N_Shore,2,II
cg19542364,,3,II
cg23059279,,3,II
cg25538435,,3,II
cg07033468,,12,II
cg09364205,,5,II
cg23076906,Island,19,I
cg18177178,Island,3,II
cg26681717,,7,II
cg02170188,N_Shelf,12,II
